Gene,GRC362.01_S14,GRC362.02_S9,GRC362.03_S13,GRC362.04_S12,GRC362.09_S20,GRC362.10_S6,GRC362.11_S3,GRC362.12_S17,GRC362.13_S16,GRC362.14_S19,GRC362.15_S11,GRC362.16_S18,GRC362.17_S5,GRC362.18_S15,GRC362.19_S8,GRC362.20_S2,GRC362.21_S10,GRC362.22_S7,GRC362.23_S1,GRC362.24_S4
Slc22a2,2.658033561,2.040993235,1.475148993,1.035374042,1.122148174,0.926334248,0,2.002032862,2.89336191,0.86930448,0.884793743,0,1.909016344,1.031141383,0,0,0,0.891749395,1.04147709,1.875453559
Slc22a26,2041.369775,2048.136711,2287.956088,2399.997029,2136.570123,1868.416178,1846.668289,1835.864134,1881.649696,2002.877522,1995.209891,2433.410437,2250.730269,1393.072009,1358.367334,1530.388614,1125.562787,1063.857028,505.1163886,404.160242
Slc22a27,785.0059117,571.4781058,837.8846279,747.5400582,667.6781635,569.6955624,740.028735,651.6616965,662.5798774,713.6989781,608.7380953,751.9880894,633.7934261,483.6053088,662.6892066,527.6178081,466.988816,648.3018102,496.7845718,314.1384711
Slc22a28,22.15027968,23.4714222,17.70178791,33.13196934,10.09933357,42.6113754,50.56700949,27.02744363,9.644539701,15.64748064,30.96778101,38.36673925,40.08934322,67.02418992,59.18600528,18.8081395,28.30235249,4.458746975,68.73748793,42.19770508
Slc22a29,145.3058347,153.0744926,157.8409422,195.6856939,169.4443743,160.2558249,211.0200204,207.2104012,237.2556766,227.7577738,273.4012666,292.5463868,291.1249924,197.9791456,210.5469368,225.697674,236.2157881,310.3287895,252.0374557,143.4721973
Slc22a3,73.53892852,91.84469557,112.1113235,135.6339995,114.4591137,115.791781,110.8584439,108.1097745,150.4548193,142.5659347,210.5809109,178.4053375,132.6766359,122.7058246,129.0448968,85.13157879,82.72995342,98.98418285,96.85736935,94.71040473
Slc22a30,3299.505661,3252.32272,4244.003652,4049.347878,2715.598581,3242.169868,4038.553662,3350.401994,3509.647997,3154.705958,2913.625796,3487.536598,3310.23434,2911.943266,4608.746313,3384.475208,3325.526417,2146.440794,3211.915345,2571.246829
Slc22a4,74.42493971,84.70121925,78.18289662,73.51155697,125.6805955,91.70709054,90.43715159,54.05488727,105.1254827,104.3165376,84.94019934,93.99851117,93.54180084,91.77158311,93.14518864,81.17197048,79.46429737,81.14919495,79.15225882,84.39541015
Slc22a5,445.6636271,549.0271802,718.3975595,550.8189903,461.2028995,546.5372062,675.8475307,512.5204126,505.3738803,473.7709416,755.6138567,622.5003444,657.6561304,565.0654781,1005.191827,690.9516511,918.7379038,947.9296069,1298.721931,1064.319895
Slc22a7,584.7673834,595.9700246,601.8607891,440.0339678,754.0835729,692.8980174,612.6387688,521.5295605,426.2886548,406.8344967,570.6919643,430.6666481,316.896713,367.0863325,216.3685111,166.3035493,104.5009938,52.61321431,63.53010248,48.76179253
Slc23a1,1486.726772,1411.346822,1342.385583,1527.176712,1579.984629,1367.26935,1454.773965,1464.487038,1730.230422,1691.666518,1779.320218,1883.806897,1759.158561,1781.81231,2092.855957,2108.491428,2082.400012,1978.791908,2428.724573,2479.349605
Slc23a2,757.5395649,909.2624862,1247.976048,992.9237061,839.3668341,943.9345986,1384.758106,1011.026595,1212.31864,1268.315236,1511.227713,1343.795042,1153.045872,997.1137177,1532.044301,1295.781821,1197.407221,1011.243814,1558.049726,1235.923895
