Gene,P01_A02,P01_A03,P01_A04,P01_A05,P01_A06,P01_A07,P01_A08,P01_A09,P01_A10,P01_A11,P01_A12,P01_B02,P01_B03,P01_B04,P01_B05,P01_B06,P01_B07,P01_B08,P01_B09,P01_B10
Slc33a1,1126.98158,1294.861736,1460.247547,1341.82573,1228.250458,1213.523664,1254.440858,1596.660541,1421.205609,1348.730912,1448.047524,1632.668912,1328.486223,1415.188958,1372.794595,1921.400368,1476.456931,1488.245234,1477.757356,1767.436288
Slc34a2,4.376627494,1.278244556,1.876924868,8.055557556,0.964847178,1.739818874,4.656424863,0.912899109,2.553063968,4.367651916,0.732446901,1.001023245,3.731702873,1.006535532,0,3.381258897,0.993578016,4.895543534,5.825587474,5.693536131
Slc35a1,332.6236896,297.8309816,310.6310656,271.587369,274.0165985,287.0701142,271.935212,296.6922104,279.1349938,264.6797061,186.0415129,241.246602,312.2191404,235.5293145,252.6173019,243.4506406,199.7091812,206.5919371,189.3315929,126.8845195
Slc35a2,83.15592239,99.7030754,79.76930688,79.40478162,104.2034952,101.7794041,96.85363714,73.94482781,64.67762052,76.87067372,67.38511491,97.09925475,109.4632843,77.50323597,92.38575614,32.96727424,94.3899115,104.7646316,106.802437,290.3703427
Slc35a3,31.73054933,33.23435847,28.15387302,26.46826054,29.91026252,41.75565297,24.21340929,17.34508307,37.4449382,9.608834215,45.41170787,40.04092979,47.2682364,33.21567256,33.20113111,19.44223866,41.73027666,23.49860896,34.95352484,4.880173827
Slc35b2,24.07145122,15.33893468,28.15387302,16.11111511,10.61331896,8.699094369,11.17541967,21.90957861,17.87144777,29.70003303,18.31117253,17.01739516,16.17071245,7.045748724,21.6529116,2.535944172,9.935780158,14.6866306,14.56396868,1.626724609
Slc35b4,149.8994917,144.4416349,169.8617005,117.3809815,130.254369,180.9411629,177.8754298,178.0153262,185.5226483,197.4178666,161.8707652,146.1493937,130.6096006,155.0064719,137.1351068,213.8646252,190.766979,167.4275889,136.9013056,222.0479091
Slc35c1,15.31819623,38.34733669,28.15387302,25.3174666,33.76965123,28.70701142,19.55698442,34.69016614,35.74289555,35.81474571,35.15745126,21.02148814,18.65851437,16.10456851,23.09643903,1.690629448,18.8779823,15.66573931,21.3604874,16.26724609
Slc35d1,80.96760864,83.08589616,116.3693418,133.4920966,143.7622295,114.8280457,95.92235217,124.1542788,166.8001792,155.4884082,150.1516147,127.1299521,105.7315814,87.56859129,121.2563049,161.4551123,111.2807378,129.2423493,171.8548305,210.6608369
Slc35d2,181.630041,182.7889716,143.5847524,235.912757,213.2312263,204.4287177,162.0435852,108.6349939,114.8878786,154.6148778,153.8138492,225.2302301,185.3412427,244.5881343,215.0855885,4.226573621,105.3192697,117.4930448,85.44194961,77.26941892
Slc36a1,29.54223559,39.62558125,68.50775767,56.38890289,54.99628914,72.20248326,51.22067349,79.42222247,76.59191904,74.25008257,54.93351759,44.04502277,58.46334502,47.30717001,30.31407623,32.96727424,37.7559646,45.03900051,45.63376854,42.29483983
Slc36a2,0,0,0.938462434,0,0,0,0,0,0,0,0,0,0,0,2.887054879,0,0.993578016,0,0,0
Slc36a4,66.74356929,54.96451592,52.5538963,49.48413927,51.13690043,65.24320777,72.64022786,69.38033227,59.57149258,53.28535337,57.86330519,71.07265038,62.19504789,49.32024107,59.18462503,83.68615769,75.5119292,66.57939206,66.0233247,136.6448671
Slc37a1,0,1.278244556,0,1.150793937,0.964847178,0,0.931284973,0,0,0,0,0,1.243900958,1.006535532,0,0.845314724,0,0.979108707,0.970931246,0.813362304
Slc37a4,22.97729434,31.95611391,37.53849736,24.16667267,22.19148509,29.57692085,42.83910874,28.29987237,32.33881026,40.18239763,36.62234506,9.009209203,6.219504789,14.09149745,5.774109759,0.845314724,5.961468095,4.895543534,6.796518719,7.32026074
Slc38a1,0,1.278244556,1.876924868,1.150793937,1.929694356,0,5.587709835,0.912899109,1.702042645,0.873530383,2.929787605,1.001023245,3.731702873,1.006535532,0,0,3.974312063,1.958217413,1.941862491,2.440086913
Slc38a2,168.5001585,152.1111022,213.0309725,292.3016599,250.8602663,173.1119779,156.4558754,157.9315458,179.5654991,176.4531374,214.606942,366.3745076,355.7556739,250.6273475,199.2067867,118.3440614,86.44128737,120.4303709,133.9885119,104.9237373
Slc38a3,17.50650998,7.669467338,23.46156085,6.904763619,19.29694356,18.26809817,16.76312951,13.69348663,21.27553307,14.85001651,21.97340703,9.009209203,14.92681149,10.06535532,11.54821952,56.63608652,16.89082627,10.77019577,9.709312456,9.760347653
Slc38a4,444.2276907,437.1596383,563.0774603,566.1906168,569.259835,588.9286888,774.8290971,546.8265662,444.2331304,510.1417438,383.0697293,470.4809251,636.8772904,556.6141492,549.9839545,613.6984897,429.2257028,512.0738536,502.9423852,149.658664
Slc3a1,110.5098442,140.6069012,138.8924402,110.4762179,84.90655166,124.3970495,172.2877199,226.398979,186.3736697,199.1649274,159.6734245,119.1217661,94.53647279,108.7058375,125.5868873,82.84084297,109.2935817,127.2841319,161.1745868,68.32243357
Slc3a2,50.33121618,43.46031492,104.1693302,86.30954524,58.85567786,63.50338889,57.7396683,103.1575993,102.1225587,81.23832564,90.09096884,70.07162714,73.39015651,62.40520299,54.85404271,36.34853314,48.68532277,51.89276146,50.48842477,44.73492674
Slc40a1,405.9322001,419.2642145,426.061945,386.6667627,346.3801369,363.6221446,346.4380098,384.3305248,444.2331304,426.282827,466.568676,427.4369255,412.975118,348.2612941,352.2206953,347.4243516,351.7266176,336.8133951,326.2328985,313.1444872
Slc43a1,16.4123531,19.17366835,15.01539894,18.41270298,14.47270767,19.13800761,24.21340929,25.56117505,23.82859703,18.34413805,16.11383183,14.01432543,13.68291054,9.058819788,4.330582319,6.762517793,11.92293619,3.916434827,6.796518719,14.64052148
Slc43a2,5.470784368,5.112978225,6.569237037,3.45238181,8.683624602,7.829184932,10.2441347,11.86768841,6.808170581,10.4823646,7.324469012,11.01125569,4.975603831,10.06535532,10.10469208,5.917203069,5.961468095,11.74930448,9.709312456,12.20043457
Slc46a1,5.470784368,5.112978225,8.446161905,0,4.82423589,8.699094369,7.45027978,10.0418902,1.702042645,11.35589498,5.859575209,8.008185959,2.487801916,5.03267766,2.887054879,19.44223866,10.92935817,13.70752189,8.738381211,46.36165135
Slc47a1,294.328199,343.8477857,259.0156318,294.6032478,294.2783893,268.802016,272.8664969,265.6536407,316.579932,332.815076,350.1096188,237.242509,192.8046485,255.6600251,246.8431922,217.2458841,252.368816,266.3175682,297.1049612,348.9324286
Slc47a2,0,0,0,0,0,0,0,0,0,0,0,1.001023245,1.243900958,0,0,0,0.993578016,0,1.941862491,0
Slc4a1,0,0,0,1.150793937,0,1.739818874,4.656424863,3.651596435,1.702042645,0.873530383,2.197340703,1.001023245,1.243900958,3.019606596,0,0,1.987156032,0,1.941862491,0.813362304
Slc4a10,1.094156874,8.947711894,0,0,0,0,1.862569945,0,0,0,0,0,0,0,2.887054879,0,0,0,0,0.813362304
Slc4a2,47.04874556,42.18207036,76.01545714,66.74604832,66.57445528,66.98302664,52.15195846,82.16091979,68.08170581,81.23832564,85.69628744,72.07367363,67.17065172,42.27449235,64.95873479,82.84084297,45.70458873,69.51671818,90.29660584,83.77631736
Slc4a4,7.659098115,14.06069012,15.95386138,6.904763619,17.3672492,12.17873212,15.83184453,17.34508307,8.510213226,12.22942536,9.521809715,8.008185959,8.707306704,7.045748724,20.20938416,46.49230983,21.85871635,13.70752189,15.53489993,49.61510057
Slc4a5,0,2.556489113,0,0,0,0.869909437,0.931284973,0.912899109,0,1.747060766,0,0,1.243900958,0,4.330582319,1.690629448,0,0.979108707,0,0
Slc4a7,2.188313747,25.56489113,12.20001164,9.206351492,13.50786049,6.089366058,11.17541967,10.95478931,17.02042645,20.09119881,14.64893802,21.02148814,4.975603831,8.052284256,17.32232928,7.607832517,11.92293619,19.58217413,13.59303744,8.133623044
Slc4a8,1.094156874,2.556489113,0,0,1.929694356,0,0,0.912899109,0.851021323,0,0,2.00204649,1.243900958,0,1.44352744,0,0,0,0,0
Slc4a9,0,0,0.938462434,2.301587873,0,0,0.931284973,0,2.553063968,0.873530383,0,0,1.243900958,1.006535532,0,1.690629448,0,0.979108707,0.970931246,1.626724609
Slc51b,17.50650998,86.92062983,42.23080952,63.29366651,43.41812301,35.66628691,65.18994808,40.16756079,18.7224691,30.57356341,26.36808844,41.04195304,44.78043448,41.26795681,37.53171343,11.83440614,22.85229436,9.791087067,17.47676242,10.57370996
Slc52a2,0,2.556489113,0.938462434,0,0,0,0,0,0,0,0.732446901,0,0,1.006535532,2.887054879,3.381258897,2.980734047,0,0.970931246,4.066811522
Slc52a3,0,0,0.938462434,0,0,0,0,1.825798218,0,0,0,0,0,0,0,0,0,0,0,0.813362304
Slc5a1,9.847411862,12.78244556,12.20001164,9.206351492,5.789083068,6.089366058,8.381564753,7.303192871,8.510213226,7.861773449,10.98670352,9.009209203,9.951207662,5.03267766,10.10469208,8.453147242,6.955046111,9.791087067,12.62210619,8.946985349
Slc5a11,1.094156874,0,0,0,0.964847178,0,0,0,0,0,0,0,0,0,1.44352744,0,0,0,0,0
Slc5a3,2.188313747,2.556489113,4.692312169,4.603175746,3.859388712,0,2.793854918,4.564495544,1.702042645,0.873530383,1.464893802,3.003069734,3.731702873,1.006535532,0,0,8.942202142,0.979108707,1.941862491,8.946985349
Slc5a5,1.094156874,1.278244556,0,0,0,0,0,0.912899109,0,0,0,0,1.243900958,0,0,0,0,0,0,0
Slc5a8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006535532,0,0.845314724,2.980734047,0,0,0
Slc5a9,0,1.278244556,0.938462434,0,0,0,0,0.912899109,0.851021323,0,0,0,0,0,0,0,0,0,0,0
Slc6a12,77.68513802,85.64238528,93.84624339,75.95239981,91.66048191,100.9094947,114.5480516,110.4607922,88.50621755,126.6619056,105.4723538,91.09311528,69.65845363,80.52284256,63.51520735,75.23301045,74.51835119,57.7674137,58.25587474,72.3892451
Slc6a13,374.2016508,490.8459096,338.7849386,379.7619991,396.5521901,422.7759863,437.7039371,339.5984685,377.0024459,276.0356011,354.5043002,386.3949725,360.7312778,369.3985403,334.898366,688.9315002,483.8724937,515.0111797,556.3436037,1294.872789
Slc6a14,0,5.112978225,0,0,0,0,0,0,0,0,0,0,0,1.006535532,1.44352744,0,0.993578016,0.979108707,0,0
Slc6a2,0,0,0,1.150793937,0,0,0,0,0,0,0,1.001023245,1.243900958,0,0,0,0.993578016,0,0,0
Slc6a4,0,1.278244556,0,0,0,0,0,0,0,0,0,0,1.243900958,1.006535532,0,0.845314724,0.993578016,1.958217413,0,1.626724609
Slc6a5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006535532,0,0.845314724,1.987156032,0.979108707,0.970931246,0
Slc6a6,6.564941241,7.669467338,7.507699471,10.35714543,2.894541534,6.089366058,9.312849725,3.651596435,9.361234549,7.861773449,11.71915042,13.01330218,6.219504789,10.06535532,11.54821952,11.83440614,8.942202142,5.87465224,10.6802437,6.506898436
Slc6a7,0,0,0,0,0,0,0.931284973,0,1.702042645,0,0,0,0,0,4.330582319,0,1.987156032,0,0,0
Slc6a8,1.094156874,0,0,1.150793937,2.894541534,0,1.862569945,0.912899109,5.106127936,3.494121533,2.929787605,2.00204649,1.243900958,0,2.887054879,2.535944172,1.987156032,2.93732612,0,3.253449218
Slc6a9,22.97729434,16.61717923,35.66157249,39.12699384,33.76965123,20.87782649,9.312849725,28.29987237,22.97757571,35.81474571,27.10053534,41.04195304,21.14631628,12.07842638,21.6529116,0,11.92293619,27.41504379,10.6802437,9.760347653
Slc7a10,1.094156874,1.278244556,0,0,0,0,0,0,0,0,0,0,0,0,2.887054879,0,0,0,0,0
Slc7a11,0,2.556489113,0.938462434,0,0,0,0,0,0,1.747060766,0,0,0,0,0,0,2.980734047,0.979108707,5.825587474,0.813362304
